x(mm)	height(mm)
-19.8	-3.2749744113450478e-06
-19.725	-3.641867809729416e-06
-19.65	-4.014754832231309e-06
-19.575000000000003	-4.366639732134442e-06
-19.5	-4.685558787003075e-06
-19.425	-4.953019042135288e-06
-19.35	-5.161073304035351e-06
-19.275	-5.328135133903915e-06
-19.200000000000003	-5.471095091137859e-06
-19.125	-5.577690726855895e-06
-19.05	-5.623596577438324e-06
-18.975	-5.597700408079102e-06
-18.9	-5.515401956359394e-06
-18.825000000000003	-5.418649175835667e-06
-18.75	-5.33488447964328e-06
-18.675	-5.2438297341171635e-06
-18.6	-5.116738752430846e-06
-18.525	-4.959868538250329e-06
-18.450000000000003	-4.802361779402684e-06
-18.375	-4.671279341562219e-06
-18.3	-4.570796511953403e-06
-18.225	-4.473456743068383e-06
-18.15	-4.35550789640189e-06
-18.075000000000003	-4.229174736202396e-06
-18.0	-4.118631423236925e-06
-17.925	-4.028185258574306e-06
-17.85	-3.935592927382901e-06
-17.775	-3.8009492427440575e-06
-17.700000000000003	-3.6127221394823727e-06
-17.625	-3.419761418009523e-06
-17.55	-3.27007373818735e-06
-17.475	-3.150971363204208e-06
-17.4	-3.027953403464733e-06
-17.325000000000003	-2.8928658104986374e-06
-17.25	-2.7504163708839223e-06
-17.175	-2.597202200185741e-06
-17.1	-2.4324309869111493e-06
-17.025	-2.273613486474615e-06
-16.950000000000003	-2.1604460151844794e-06
-16.875	-2.1480366942446264e-06
-16.8	-2.2693241937651355e-06
-16.725	-2.505462726794343e-06
-16.65	-2.8188620433651414e-06
-16.575000000000003	-3.190838674551587e-06
-16.5	-3.615054676545827e-06
-16.425	-4.0820313747478705e-06
-16.35	-4.572189357870566e-06
-16.275	-5.054588472059476e-06
-16.200000000000003	-5.499937815023769e-06
-16.125	-5.892184480189755e-06
-16.05	-6.220131050864787e-06
-15.975	-6.4677468444122755e-06
-15.9	-6.619222906446301e-06
-15.825000000000001	-6.663615755040276e-06
-15.75	-6.583128624949929e-06
-15.675	-6.347638961847044e-06
-15.600000000000001	-5.950572166570424e-06
-15.525	-5.438239089396578e-06
-15.450000000000001	-4.8716785243153325e-06
