x(mm)	height(mm)
26.4	-1.993991685744055e-08
26.475	4.3732431092217564e-07
26.549999999999997	9.941978246697029e-07
26.625	1.6248687828510777e-06
26.699999999999996	2.2898392024607573e-06
26.775	2.9586362107023358e-06
26.85	3.595574546664475e-06
26.924999999999997	4.146987812994164e-06
27.0	4.5712797275669255e-06
27.074999999999996	4.867191625155219e-06
27.15	5.052111209090068e-06
27.225	5.136202552922707e-06
27.299999999999997	5.129801102083406e-06
27.375	5.053083675533702e-06
27.449999999999996	4.921564717418776e-06
27.525	4.731657548715342e-06
27.599999999999994	4.4706506188770845e-06
27.674999999999997	4.130293757476099e-06
27.75	3.710404425841467e-06
27.824999999999996	3.2204789686967903e-06
27.9	2.6833376157900356e-06
27.974999999999994	2.136356983524021e-06
28.049999999999997	1.6210138265842221e-06
28.125	1.169901289560577e-06
28.199999999999996	7.952851585686678e-07
28.275	4.834401128661284e-07
28.349999999999994	2.1057722646826874e-07
28.424999999999997	-4.041103024130472e-08
28.5	-2.815195389046222e-07
28.574999999999996	-5.228505315817361e-07
28.65	-7.641185891497957e-07
28.724999999999994	-9.886693897026447e-07
28.799999999999997	-1.17926845695473e-06
28.875	-1.3322111586506858e-06
28.949999999999996	-1.4429552049729585e-06
29.025	-1.4938556469548143e-06
29.099999999999994	-1.4787861248979015e-06
29.174999999999997	-1.4248926167896126e-06
29.25	-1.3660171867242674e-06
29.324999999999996	-1.313400483329151e-06
29.4	-1.2638092381922508e-06
29.474999999999994	-1.2121050142932847e-06
29.549999999999997	-1.144137954435232e-06
29.625	-1.0325580296831187e-06
29.699999999999996	-8.639662878030782e-07
29.775	-6.618248517025262e-07
29.849999999999994	-4.610494178785981e-07
29.924999999999997	-2.7637925486522026e-07
30.0	-9.419720168372343e-08
