#F tmpHistoSlopes.dat
#S  1  histograms of slopes
#N 3
#L  slope[rad] at bin center  counts  Gaussian with StDev = 4.86721e-07
-1.472676767900475645e-06 2.000000000000000000e+00 2.952308511018916781e-01
-1.443579961016935237e-06 0.000000000000000000e+00 3.531353633921525126e-01
-1.414483154133394405e-06 0.000000000000000000e+00 4.208899936410009368e-01
-1.385386347249853573e-06 1.000000000000000000e+00 4.998548490370630093e-01
-1.356289540366313165e-06 2.000000000000000000e+00 5.915168718568620809e-01
-1.327192733482772333e-06 1.000000000000000000e+00 6.974904761272858744e-01
-1.298095926599231502e-06 2.000000000000000000e+00 8.195158275639099488e-01
-1.268999119715691093e-06 3.000000000000000000e+00 9.594543754621067677e-01
-1.239902312832150262e-06 3.000000000000000000e+00 1.119281248903527093e+00
-1.210805505948609430e-06 1.000000000000000000e+00 1.301074145969873586e+00
-1.181708699065069022e-06 6.000000000000000000e+00 1.506998375293982173e+00
-1.152611892181528190e-06 1.000000000000000000e+00 1.739287755628797560e+00
-1.123515085297987358e-06 3.000000000000000000e+00 2.000221142216846992e+00
-1.094418278414446950e-06 7.000000000000000000e+00 2.292094429164336145e+00
-1.065321471530906119e-06 3.000000000000000000e+00 2.617187974761200131e+00
-1.036224664647365287e-06 2.000000000000000000e+00 2.977729511075138280e+00
-1.007127857763824879e-06 4.000000000000000000e+00 3.375852728779262346e+00
-9.780310508802840469e-07 2.000000000000000000e+00 3.813551870853829406e+00
-9.489342439967433211e-07 3.000000000000000000e+00 4.292632821521297437e+00
-9.198374371132027011e-07 8.000000000000000000e+00 4.814661335712885126e+00
-8.907406302296619753e-07 8.000000000000000000e+00 5.380909214944831653e+00
-8.616438233461212495e-07 9.000000000000000000e+00 5.992299392454030205e+00
-8.325470164625806295e-07 9.000000000000000000e+00 6.649351038012040860e+00
-8.034502095790399037e-07 3.000000000000000000e+00 7.352125924840225757e+00
-7.743534026954991778e-07 5.000000000000000000e+00 8.100177411161141094e+00
-7.452565958119585579e-07 5.000000000000000000e+00 8.892503470897958451e+00
-7.161597889284178320e-07 1.000000000000000000e+01 9.727505255976605980e+00
-6.870629820448771062e-07 9.000000000000000000e+00 1.060295268132708912e+01
-6.579661751613364863e-07 1.000000000000000000e+01 1.151595848866509186e+01
-6.288693682777957604e-07 7.000000000000000000e+00 1.246296216329386652e+01
-5.997725613942550346e-07 1.000000000000000000e+01 1.343972494776400595e+01
-5.706757545107144146e-07 6.000000000000000000e+00 1.444133701717193041e+01
-5.415789476271736888e-07 9.000000000000000000e+00 1.546223765486866597e+01
-5.124821407436329630e-07 1.300000000000000000e+01 1.649624899797632338e+01
-4.833853338600923430e-07 1.500000000000000000e+01 1.753662361485319465e+01
-4.542885269765517231e-07 1.300000000000000000e+01 1.857610583881923105e+01
-4.251917200930108913e-07 1.300000000000000000e+01 1.960700642302888852e+01
-3.960949132094702714e-07 1.300000000000000000e+01 2.062128971076268513e+01
-3.669981063259296514e-07 2.100000000000000000e+01 2.161067214511045265e+01
-3.379012994423888197e-07 1.800000000000000000e+01 2.256673058425772282e+01
-3.088044925588481998e-07 3.100000000000000000e+01 2.348101855584747000e+01
-2.797076856753075798e-07 2.800000000000000000e+01 2.434518828843313898e+01
-2.506108787917667481e-07 2.700000000000000000e+01 2.515111611140187620e+01
-2.215140719082261281e-07 2.600000000000000000e+01 2.589102862724287846e+01
-1.924172650246855082e-07 2.600000000000000000e+01 2.655762694028556581e+01
-1.633204581411446765e-07 4.500000000000000000e+01 2.714420618055162038e+01
-1.342236512576040565e-07 2.600000000000000000e+01 2.764476759422282370e+01
-1.051268443740634366e-07 2.700000000000000000e+01 2.805412058479725701e+01
-7.603003749052260485e-08 4.100000000000000000e+01 2.836797227983342751e+01
-4.693323060698198489e-08 2.600000000000000000e+01 2.858300246295556590e+01
-1.783642372344136494e-08 3.300000000000000000e+01 2.869692204245489719e+01
1.126038316009946677e-08 3.700000000000000000e+01 2.870851361678395719e+01
4.035719004364008673e-08 2.900000000000000000e+01 2.861765313172706726e+01
6.945399692718070668e-08 3.000000000000000000e+01 2.842531209050400420e+01
9.855080381072153840e-08 2.300000000000000000e+01 2.813354026174819467e+01
1.276476106942621584e-07 3.800000000000000000e+01 2.774542931574658056e+01
1.567444175778027783e-07 1.900000000000000000e+01 2.726505829101785494e+01
1.858412244613436100e-07 2.600000000000000000e+01 2.669742223625780397e+01
2.149380313448842300e-07 2.300000000000000000e+01 2.604834577303226695e+01
2.440348382284248499e-07 2.200000000000000000e+01 2.532438367013258329e+01
2.731316451119656816e-07 2.600000000000000000e+01 2.453271080111147739e+01
3.022284519955063016e-07 1.900000000000000000e+01 2.368100406453418572e+01
3.313252588790469216e-07 2.500000000000000000e+01 2.277731897696664376e+01
3.604220657625877533e-07 1.500000000000000000e+01 2.182996369957571758e+01
3.895188726461283732e-07 1.500000000000000000e+01 2.084737323117756702e+01
4.186156795296689932e-07 1.700000000000000000e+01 1.983798639711861611e+01
4.477124864132098249e-07 1.200000000000000000e+01 1.881012809049712331e+01
4.768092932967502331e-07 2.300000000000000000e+01 1.777189898811217006e+01
5.059061001802910648e-07 1.300000000000000000e+01 1.673107467813088078e+01
5.350029070638318965e-07 2.400000000000000000e+01 1.569501581109736854e+01
5.640997139473723047e-07 1.700000000000000000e+01 1.467059053270815738e+01
5.931965208309131364e-07 1.800000000000000000e+01 1.366411008822870699e+01
6.222933277144539681e-07 1.000000000000000000e+01 1.268127811684292361e+01
6.513901345979943763e-07 1.400000000000000000e+01 1.172715379131808788e+01
