#F tmpPSD.dat
#S 1  power spectral density
#N 5
#L  freq[m^-1]  psd_heights[m^3]  psd_slopes[rad^3]  csd_h  csd_s
3.166666666666666785e+01 2.998430863927121563e-20 1.130548717161252906e-15 9.999611231474444528e-01 9.470719198156979379e-01
3.250000000000000000e+01 1.505622119145740156e-20 5.989964190540383571e-16 9.999660022879768295e-01 9.486769511782889852e-01
3.333333333333333570e+01 2.017025845510093096e-20 8.455416279146699929e-16 9.999698182776650679e-01 9.500154155314458615e-01
3.416666666666667140e+01 1.622605057448940003e-20 7.157880026910490024e-16 9.999737609765246837e-01 9.514599779785213318e-01
3.500000000000000711e+01 9.365777597079100416e-21 4.342346496427492113e-16 9.999765332502981163e-01 9.525225927653682145e-01
3.583333333333333570e+01 4.636055450693335336e-21 2.256448697085610727e-16 9.999780500169407338e-01 9.531317830121924795e-01
3.666666666666667140e+01 5.745076440997300324e-21 2.932110640718832948e-16 9.999791745649706520e-01 9.536105092348504675e-01
3.750000000000000000e+01 9.804893946626571846e-21 5.241665321380724200e-16 9.999808590309988698e-01 9.543641815265369033e-01
3.833333333333334281e+01 1.474584233738214097e-21 8.248843946462099135e-17 9.999820808899301250e-01 9.549231700534647205e-01
3.916666666666667140e+01 6.173880552143764778e-22 3.610387687486900795e-17 9.999823075044181886e-01 9.550324060347544775e-01
4.000000000000000711e+01 2.830993419476783461e-21 1.729020138543985094e-16 9.999826810528501531e-01 9.552248920082232475e-01
4.083333333333333570e+01 3.655727286302310106e-21 2.329760676686967304e-16 9.999833837312114282e-01 9.555985785529249599e-01
4.166666666666667140e+01 8.705852027674888127e-22 5.784317285350368560e-17 9.999838740467484888e-01 9.558662421161382428e-01
4.250000000000000711e+01 1.010841801327196111e-20 6.996318019330002704e-16 9.999850633529107080e-01 9.565630536491915858e-01
4.333333333333334281e+01 1.440073831197558920e-21 1.037464354932353900e-16 9.999863143476949157e-01 9.573015379786432577e-01
4.416666666666667140e+01 2.000537376636143567e-21 1.499019304317425654e-16 9.999866870529138252e-01 9.575345792747428364e-01
4.500000000000000000e+01 2.649469037658286905e-21 2.063356724619970513e-16 9.999871907660027315e-01 9.578617794525450257e-01
4.583333333333333570e+01 4.215935343941399368e-22 3.410037249357052741e-17 9.999875234394722812e-01 9.580825540580104605e-01
4.666666666666666430e+01 1.103190952623452616e-21 9.261295427066804301e-17 9.999876886120168118e-01 9.581988850492672016e-01
4.750000000000000711e+01 1.437854494732432779e-21 1.252012733033673037e-16 9.999879638711456353e-01 9.583988195347351580e-01
4.833333333333333570e+01 2.746696668539598947e-21 2.479158721767205087e-16 9.999884171631124863e-01 9.587412116848474941e-01
