#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 2.000124248497e+04   2.182340115163e+14   3.496494311149e-02  
 2.000128256513e+04   2.182334705748e+14   3.496485644310e-02  
 2.000132264529e+04   2.182329296345e+14   3.496476977491e-02  
 2.000136272545e+04   2.182323886954e+14   3.496468310692e-02  
 2.000140280561e+04   2.182318477575e+14   3.496459643911e-02  
 2.000144288577e+04   2.182313068208e+14   3.496450977149e-02  
 2.000148296593e+04   2.182307658853e+14   3.496442310408e-02  
 2.000152304609e+04   2.182302249511e+14   3.496433643685e-02  
 2.000156312625e+04   2.182296840179e+14   3.496424976981e-02  
 2.000160320641e+04   2.182291430861e+14   3.496416310297e-02  
 2.000164328657e+04   2.182286021554e+14   3.496407643632e-02  
 2.000168336673e+04   2.182280612259e+14   3.496398976987e-02  
 2.000172344689e+04   2.182275202976e+14   3.496390310360e-02  
 2.000176352705e+04   2.182269793705e+14   3.496381643753e-02  
 2.000180360721e+04   2.182264384447e+14   3.496372977165e-02  
 2.000184368737e+04   2.182258975200e+14   3.496364310596e-02  
 2.000188376754e+04   2.182253565965e+14   3.496355644047e-02  
 2.000192384770e+04   2.182248156742e+14   3.496346977517e-02  
 2.000196392786e+04   2.182242747531e+14   3.496338311005e-02  
 2.000200400802e+04   2.182237338333e+14   3.496329644514e-02  
 2.000204408818e+04   2.182231929146e+14   3.496320978041e-02  
 2.000208416834e+04   2.182226519971e+14   3.496312311588e-02  
 2.000212424850e+04   2.182221110809e+14   3.496303645154e-02  
 2.000216432866e+04   2.182215701658e+14   3.496294978739e-02  
 2.000220440882e+04   2.182210292519e+14   3.496286312344e-02  
 2.000224448898e+04   2.182204883393e+14   3.496277645968e-02  
 2.000228456914e+04   2.182199474279e+14   3.496268979611e-02  
 2.000232464930e+04   2.182194065176e+14   3.496260313274e-02  
 2.000236472946e+04   2.182188656086e+14   3.496251646955e-02  
 2.000240480962e+04   2.182183247007e+14   3.496242980656e-02  
 2.000244488978e+04   2.182177837941e+14   3.496234314376e-02  
 2.000248496994e+04   2.182172428886e+14   3.496225648116e-02  
 2.000252505010e+04   2.182167019844e+14   3.496216981874e-02  
 2.000256513026e+04   2.182161610813e+14   3.496208315652e-02  
 2.000260521042e+04   2.182156201795e+14   3.496199649449e-02  
 2.000264529058e+04   2.182150792788e+14   3.496190983266e-02  
 2.000268537074e+04   2.182145383794e+14   3.496182317101e-02  
 2.000272545090e+04   2.182139974811e+14   3.496173650956e-02  
 2.000276553106e+04   2.182134565841e+14   3.496164984830e-02  
 2.000280561122e+04   2.182129156883e+14   3.496156318724e-02  
 2.000284569138e+04   2.182123747937e+14   3.496147652637e-02  
 2.000288577154e+04   2.182118339002e+14   3.496138986569e-02  
 2.000292585170e+04   2.182112930080e+14   3.496130320520e-02  
 2.000296593186e+04   2.182107521170e+14   3.496121654490e-02  
 2.000300601202e+04   2.182102112272e+14   3.496112988480e-02  
 2.000304609218e+04   2.182096703386e+14   3.496104322489e-02  
 2.000308617234e+04   2.182091294511e+14   3.496095656517e-02  
 2.000312625251e+04   2.182085885649e+14   3.496086990565e-02  
 2.000316633267e+04   2.182080476799e+14   3.496078324631e-02  
 2.000320641283e+04   2.182075067961e+14   3.496069658717e-02  
 2.000324649299e+04   2.182069659135e+14   3.496060992823e-02  
 2.000328657315e+04   2.182064250321e+14   3.496052326947e-02  
 2.000332665331e+04   2.182058841519e+14   3.496043661091e-02  
 2.000336673347e+04   2.182053432728e+14   3.496034995254e-02  
 2.000340681363e+04   2.182048023951e+14   3.496026329437e-02  
 2.000344689379e+04   2.182042615184e+14   3.496017663638e-02  
 2.000348697395e+04   2.182037206430e+14   3.496008997858e-02  
 2.000352705411e+04   2.182031797689e+14   3.496000332099e-02  
 2.000356713427e+04   2.182026388958e+14   3.495991666358e-02  
 2.000360721443e+04   2.182020980240e+14   3.495983000636e-02  
 2.000364729459e+04   2.182015571535e+14   3.495974334934e-02  
 2.000368737475e+04   2.182010162841e+14   3.495965669251e-02  
 2.000372745491e+04   2.182004754159e+14   3.495957003588e-02  
 2.000376753507e+04   2.181999345489e+14   3.495948337944e-02  
 2.000380761523e+04   2.181993936831e+14   3.495939672318e-02  
 2.000384769539e+04   2.181988528185e+14   3.495931006712e-02  
 2.000388777555e+04   2.181983119552e+14   3.495922341126e-02  
 2.000392785571e+04   2.181977710930e+14   3.495913675558e-02  
 2.000396793587e+04   2.181972302320e+14   3.495905010010e-02  
 2.000400801603e+04   2.181966893722e+14   3.495896344481e-02  
 2.000404809619e+04   2.181961485137e+14   3.495887678972e-02  
 2.000408817635e+04   2.181956076563e+14   3.495879013481e-02  
 2.000412825651e+04   2.181950668001e+14   3.495870348010e-02  
 2.000416833667e+04   2.181945259451e+14   3.495861682558e-02  
